label,index,nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,densest_quadrant
i,2,9,9,0,0,1,0,2,2,2,9,9,9,1,2,0,1
i,3,7,7,0,0,1,0,2,2,2,7,7,7,1,2,0,1
i,4,7,7,0,0,1,0.14,2,2,2,5,5,7,1,2,0,4
i,5,6,6,1,0,1,0.14,2,2,2,5,5,6,2,2,0,4
i,6,8,8,0,0,1,0,4,2,2,8,8,8,0,2,0,1
i,7,8,8,1,0,1,0.09,2,2,2,8,8,8,1,2,0,4
i,8,8,8,0,0,1,0.11,4,2,2,7,7,8,0,2,0,4
j,1,13,8,2,1,1,0.27,1,3,4,10,9,10,3,2,0,4
j,2,13,8,3,1,1,0.36,2,3,4,8,9,10,4,2,0,2
j,3,13,8,4,1,1,0.36,2,4,4,9,9,10,5,2,0,2
j,4,11,8,3,1,1,0.25,2,4,4,8,8,8,4,2,0,4
j,5,14,7,2,1,1,0.36,2,3,4,9,10,11,3,2,0,2
j,6,12,8,4,1,1,0.4,2,5,5,8,8,8,5,2,0,2
j,7,13,8,4,1,1,0.36,2,4,4,9,9,10,5,2,0,2
j,8,11,7,3,0,1,0.27,2,3,4,7,8,7,4,2,0,4
sad,1,23,1,5,2,2,0.9,6,8,7,12,13,16,9,3,0,2
sad,2,25,2,10,2,2,1,6,9,9,13,13,16,12,3,0,1
sad,3,22,3,7,2,2,0.75,6,7,7,12,12,15,11,3,0,3
sad,4,25,3,7,2,3,0.92,5,10,9,11,12,15,12,3,0,2
sad,5,31,2,4,4,4,0.62,6,6,4,17,15,19,7,3,0,2
sad,6,25,2,10,2,4,1.18,6,11,11,10,10,15,14,3,0,1
sad,7,24,2,7,1,3,0.69,6,6,6,14,14,18,8,3,0,2
sad,8,27,1,8,2,3,0.92,6,8,8,15,15,18,11,3,0,2
sad,9,22,2,9,2,2,1.1,6,8,8,10,10,13,13,3,0,4
sad,10,25,3,9,3,2,0.92,5,9,9,13,13,15,11,3,0,2
sad,11,23,2,7,2,3,0.91,6,7,7,13,13,17,9,3,0,1
sad,12,20,3,5,1,2,0.73,6,7,7,12,12,15,7,3,0,2
sad,13,25,3,9,2,2,1,6,10,10,13,13,16,11,3,0,1
sad,14,25,1,8,2,3,0.92,6,10,10,13,13,15,11,3,0,2
sad,15,27,1,6,3,3,0.75,4,9,8,16,15,17,8,3,0,2
sad,16,19,2,6,1,2,0.7,6,5,5,12,12,15,8,3,0,2
sad,17,27,1,5,2,3,0.69,6,7,6,16,15,18,8,3,0,3
sad,18,20,2,4,1,3,0.7,6,5,6,11,11,14,7,3,0,3
sad,19,26,0,8,2,2,0.83,6,8,8,16,16,18,10,3,0,2
sad,20,28,4,8,4,3,0.92,5,8,8,12,14,16,10,3,0,2
smiley,1,23,1,9,1,2,1.22,6,8,8,12,12,17,11,3,0,1
smiley,2,26,3,7,2,2,0.92,6,7,8,14,13,18,8,3,0,1
smiley,3,22,3,3,4,4,0.6,2,6,6,9,11,7,4,3,0,4
smiley,4,23,1,9,3,2,1,6,7,7,10,10,13,11,3,0,2
smiley,5,34,1,3,6,4,0.73,2,6,7,15,14,10,7,3,0,3
smiley,6,22,3,6,1,2,0.69,6,5,5,12,12,18,10,3,0,3
smiley,7,22,3,6,3,3,0.83,5,7,7,11,10,13,8,3,0,1
smiley,8,21,3,7,1,2,0.82,6,5,5,12,11,17,8,3,0,2
smiley,9,20,2,4,2,2,0.64,6,6,6,12,12,14,8,3,0,4
smiley,10,18,2,7,2,2,0.9,6,8,8,9,9,11,9,3,0,1
smiley,11,26,3,9,2,2,0.92,6,9,8,14,14,18,13,3,0,3
smiley,12,21,6,7,2,2,0.83,6,9,9,10,10,13,11,3,0,2
smiley,13,19,3,6,2,2,0.8,6,6,6,11,11,14,8,3,0,3
smiley,14,23,6,9,2,2,1.09,6,11,11,11,11,13,11,3,0,1
smiley,15,22,3,4,1,2,0.73,5,5,5,13,13,17,6,3,0,1
smiley,16,19,4,9,2,2,1.1,6,9,9,8,8,11,11,3,0,1
smiley,17,22,2,7,3,3,0.9,6,9,9,10,11,12,10,3,0,3
smiley,18,21,1,7,4,3,0.91,4,6,7,8,9,12,10,3,0,4
smiley,19,28,4,11,3,3,1.27,5,11,11,12,12,16,14,3,0,1
smiley,20,20,4,7,1,2,0.82,6,8,7,10,10,14,10,3,0,3
xclaim,1,11,7,2,0,1,0.18,3,3,4,9,8,7,3,2,0,2
xclaim,2,8,8,1,0,1,0.11,2,2,2,8,8,8,1,2,0,4
xclaim,3,9,9,0,0,1,0,2,2,2,9,9,9,1,2,0,1
xclaim,4,11,11,0,0,1,0,4,2,2,11,11,11,0,2,0,1
xclaim,5,8,8,0,0,1,0,2,2,2,8,8,8,1,2,0,1
xclaim,6,9,9,0,0,1,0,2,2,2,9,9,9,1,2,0,1
xclaim,7,15,4,1,1,2,0.2,1,2,2,7,7,4,2,2,0,4
xclaim,8,12,12,0,0,1,0,2,2,2,12,12,12,1,2,0,1
xclaim,9,13,11,2,0,1,0.15,2,2,2,9,11,11,3,2,0,2
xclaim,10,9,9,0,0,2,0.09,2,2,2,7,7,9,2,2,0,4
xclaim,11,12,8,0,0,1,0.09,1,2,2,10,8,8,1,2,0,4
xclaim,12,9,9,0,0,1,0.1,2,2,2,7,7,9,1,2,0,4
xclaim,13,9,9,1,0,1,0.09,2,2,2,8,8,9,2,2,0,4
xclaim,14,11,11,0,0,1,0.08,2,2,2,10,10,11,1,2,0,4
xclaim,15,12,12,0,0,2,0.08,2,2,2,11,11,12,1,2,0,4
xclaim,16,11,11,0,0,2,0.08,2,2,2,10,10,11,1,2,0,4
xclaim,17,12,12,0,0,1,0,2,2,2,12,12,12,1,2,0,1
xclaim,18,13,13,1,0,2,0.14,2,2,2,11,11,13,2,2,0,2
xclaim,19,9,9,0,0,1,0,2,2,2,9,9,9,1,2,0,1
xclaim,20,8,8,0,0,1,0,2,2,2,8,8,8,1,2,0,1
